Ac_197F,short,4
Ac_197F,poly,17
Ac_197F,good1,75
Ac_197F,total,96
Ac_106F,short,25
Ac_106F,poly,9
Ac_106F,good1,62
Ac_106F,total,96
Aj_Li2,short,10
Aj_Li2,poly,26
Aj_Li2,good1,60
Aj_Li2,total,96
Ac_FM,short,12
Ac_FM,poly,29
Ac_FM,good1,55
Ac_FM,total,96
Ac_total,short,368
Ac_total,poly,125
Ac_total,good1,452
Ac_total,total,945
Aj_total,short,29
Aj_total,poly,64
Aj_total,good1,195
Aj_total,total,288
Aj_Li1,short,10
Aj_Li1,poly,23
Aj_Li1,good1,63
Aj_Li1,total,96
Ac_EH1,short,297
Ac_EH1,poly,51
Ac_EH1,good1,193
Ac_EH1,total,541
Ac_M175,short,30
Ac_M175,poly,19
Ac_M175,good1,67
Ac_M175,total,116
Aj_Li3,short,9
Aj_Li3,poly,15
Aj_Li3,good1,72
Aj_Li3,total,96
